% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.294	9	17	30	5	1	14	775	0	0
0.294	10	1	30	5	1	18	967	0	0
0.294	11	2	30	5	1	26	1836	0	0
0.294	12	3	30	5	1	28	2196	0	0
0.294	13	4	30	5	1	18	967	0	0
0.295	1	20	30	6	1	4	217	0	0
0.295	2	16	30	6	2	4	217	0	0
0.295	4	6	30	6	2	14	775	0	0
0.295	5	23	30	6	1	8	421	0	0
0.295	6	15	30	6	1	2	133	0	0
0.295	9	17	30	6	1	14	775	0	0
0.295	10	1	30	6	1	18	967	0	0
0.295	11	2	30	6	1	26	1836	0	0
0.295	12	3	30	6	1	28	2196	0	0
0.295	13	4	30	6	1	18	967	0	0
0.296	1	10	30	7	2	8	421	0	0
0.296	2	21	30	7	1	10	469	0	0
0.296	4	19	30	7	3	6	309	0	0
0.296	5	23	30	7	1	8	421	0	0
0.296	6	14	30	7	3	8	421	0	0
0.296	9	17	30	7	1	14	775	0	0
0.296	10	1	30	7	1	18	967	0	0
0.296	11	2	30	7	1	26	1836	0	0
0.296	12	3	30	7	1	28	2196	0	0
0.296	13	4	30	7	1	18	967	0	0
0.297	1	13	30	8	5	6	309	0	0
0.297	2	16	30	8	2	4	217	0	0
0.297	4	22	30	8	4	12	597	0	0
0.297	5	23	30	8	1	8	421	0	0
0.297	6	8	30	8	2	4	217	0	0
0.297	9	17	30	8	1	14	775	0	0
0.297	10	1	30	8	1	18	967	0	0
0.297	11	2	30	8	1	26	1836	0	0
0.297	12	3	30	8	1	28	2196	0	0
0.297	13	4	30	8	1	18	967	0	0
0.298	1	11	30	9	3	12	597	0	0
0.298	2	21	30	9	1	10	469	0	0
0.298	4	9	30	9	6	2	133	0	0
0.298	5	23	30	9	1	8	421	0	0
0.298	6	7	30	9	4	10	469	0	0
0.298	9	17	30	9	1	14	775	0	0
0.298	10	1	30	9	1	18	967	0	0
0.298	11	2	30	9	1	26	1836	0	0
0.298	12	3	30	9	1	28	2196	0	0
0.298	13	4	30	9	1	18	967	0	0
0.299	1	5	30	10	4	10	469	0	0
0.299	2	16	30	10	2	4	217	0	0
0.299	4	12	30	10	1	8	421	0	0
0.299	5	23	30	10	1	8	421	0	0
0.299	6	14	30	10	3	8	421	0	0
0.299	9	17	30	10	1	14	775	0	0
0.299	10	1	30	10	1	18	967	0	0
0.299	11	2	30	10	1	26	1836	0	0
0.299	12	3	30	10	1	28	2196	0	0
0.299	13	4	30	10	1	18	967	0	0
0.3	1	20	31	1	1	4	217	0	0
0.3	2	21	31	1	1	10	469	0	0
0.3	4	6	31	1	2	14	775	0	0
0.3	5	23	31	1	1	8	421	0	0
0.3	6	15	31	1	1	2	133	0	0
0.3	9	17	31	1	1	14	775	0	0
0.3	10	1	31	1	1	18	967	0	0
0.3	11	2	31	1	1	26	1836	0	0
0.3	12	3	31	1	1	28	2196	0	0
0.3	13	4	31	1	1	18	967	0	0
0.301	1	10	31	2	2	8	421	0	0
0.301	2	21	31	2	1	10	469	0	0
0.301	4	19	31	2	3	6	309	0	0
0.301	5	23	31	2	1	8	421	0	0
0.301	6	8	31	2	2	4	217	0	0
0.301	9	17	31	2	1	14	775	0	0
0.301	10	1	31	2	1	18	967	0	0
0.301	11	2	31	2	1	26	1836	0	0
0.301	12	3	31	2	1	28	2196	0	0
0.301	13	4	31	2	1	18	967	0	0
0.302	1	13	31	3	5	6	309	0	0
0.302	2	16	31	3	2	4	217	0	0
0.302	4	22	31	3	4	12	597	0	0
0.302	5	23	31	3	1	8	421	0	0
0.302	6	7	31	3	4	10	469	0	0
0.302	9	17	31	3	1	14	775	0	0
0.302	10	1	31	3	1	18	967	0	0
0.302	11	2	31	3	1	26	1836	0	0
0.302	12	3	31	3	1	28	2196	0	0
0.302	13	4	31	3	1	18	967	0	0
0.303	1	11	31	4	3	12	597	0	0
0.303	2	21	31	4	1	10	469	0	0
0.303	4	12	31	4	1	8	421	0	0
0.303	5	23	31	4	1	8	421	0	0
0.303	6	14	31	4	3	8	421	0	0
0.303	9	17	31	4	1	14	775	0	0
0.303	10	1	31	4	1	18	967	0	0
0.303	11	2	31	4	1	26	1836	0	0
0.303	12	3	31	4	1	28	2196	0	0
0.303	13	4	31	4	1	18	967	0	0
0.304	1	5	31	5	4	10	469	0	0
0.304	2	16	31	5	2	4	217	0	0
0.304	4	6	31	5	2	14	775	0	0
0.304	5	23	31	5	1	8	421	0	0
0.304	6	15	31	5	1	2	133	0	0
0.304	9	17	31	5	1	14	775	0	0
0.304	10	1	31	5	1	18	967	0	0
0.304	11	2	31	5	1	26	1836	0	0
0.304	12	3	31	5	1	28	2196	0	0
0.304	13	4	31	5	1	18	967	0	0
0.305	1	20	31	6	1	4	217	0	0
0.305	2	21	31	6	1	10	469	0	0
0.305	4	9	31	6	6	2	133	0	0
0.305	5	23	31	6	1	8	421	0	0
0.305	6	8	31	6	2	4	217	0	0
0.305	9	17	31	6	1	14	775	0	0
0.305	10	1	31	6	1	18	967	0	0
0.305	11	2	31	6	1	26	1836	0	0
0.305	12	3	31	6	1	28	2196	0	0
0.305	13	4	31	6	1	18	967	0	0
0.306	1	10	31	7	2	8	421	0	0
0.306	2	16	31	7	2	4	217	0	0
0.306	4	19	31	7	3	6	309	0	0
0.306	5	23	31	7	1	8	421	0	0
0.306	6	7	31	7	4	10	469	0	0
0.306	9	17	31	7	1	14	775	0	0
0.306	10	1	31	7	1	18	967	0	0
0.306	11	2	31	7	1	26	1836	0	0
0.306	12	3	31	7	1	28	2196	0	0
0.306	13	4	31	7	1	18	967	0	0
0.307	1	13	31	8	5	6	309	0	0
0.307	2	21	31	8	1	10	469	0	0
0.307	4	22	31	8	4	12	597	0	0
0.307	5	23	31	8	1	8	421	0	0
0.307	6	14	31	8	3	8	421	0	0
0.307	9	17	31	8	1	14	775	0	0
0.307	10	1	31	8	1	18	967	0	0
0.307	11	2	31	8	1	26	1836	0	0
0.307	12	3	31	8	1	28	2196	0	0
0.307	13	4	31	8	1	18	967	0	0
0.308	1	11	31	9	3	12	597	0	0
0.308	2	16	31	9	2	4	217	0	0
0.308	4	6	31	9	2	14	775	0	0
0.308	5	23	31	9	1	8	421	0	0
0.308	6	15	31	9	1	2	133	0	0
0.308	9	17	31	9	1	14	775	0	0
0.308	10	1	31	9	1	18	967	0	0
0.308	11	2	31	9	1	26	1836	0	0
0.308	12	3	31	9	1	28	2196	0	0
0.308	13	4	31	9	1	18	967	0	0
0.309	1	5	31	10	4	10	469	0	0
0.309	2	21	31	10	1	10	469	0	0
0.309	4	12	31	10	1	8	421	0	0
0.309	5	23	31	10	1	8	421	0	0
0.309	6	8	31	10	2	4	217	0	0
0.309	9	17	31	10	1	14	775	0	0
0.309	10	1	31	10	1	18	967	0	0
0.309	11	2	31	10	1	26	1836	0	0
0.309	12	3	31	10	1	28	2196	0	0
0.309	13	4	31	10	1	18	967	0	0
0.31	1	10	32	1	2	8	421	0	0
0.31	2	16	32	1	2	4	217	0	0
0.31	4	9	32	1	6	2	133	0	0
0.31	5	23	32	1	1	8	421	0	0
0.31	6	7	32	1	4	10	469	0	0
0.31	9	17	32	1	1	14	775	0	0
0.31	10	1	32	1	1	18	967	0	0
0.31	11	2	32	1	1	26	1836	0	0
0.31	12	3	32	1	1	28	2196	0	0
0.31	13	4	32	1	1	18	967	0	0
0.311	1	20	32	2	1	4	217	0	0
0.311	2	21	32	2	1	10	469	0	0
0.311	4	19	32	2	3	6	309	0	0
0.311	5	23	32	2	1	8	421	0	0
0.311	6	14	32	2	3	8	421	0	0
0.311	9	17	32	2	1	14	775	0	0
0.311	10	1	32	2	1	18	967	0	0
0.311	11	2	32	2	1	26	1836	0	0
0.311	12	3	32	2	1	28	2196	0	0
0.311	13	4	32	2	1	18	967	0	0
0.312	1	13	32	3	5	6	309	0	0
0.312	2	16	32	3	2	4	217	0	0
0.312	4	22	32	3	4	12	597	0	0
0.312	5	23	32	3	1	8	421	0	0
0.312	6	15	32	3	1	2	133	0	0
0.312	9	17	32	3	1	14	775	0	0
0.312	10	1	32	3	1	18	967	0	0
