% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.284	1	11	29	5	3	6	63
0.284	1	20	29	5	1	10	97
0.284	1	10	29	5	2	10	97
0.284	2	21	29	5	1	4	105
0.284	2	16	29	5	2	2	65
0.284	4	12	29	5	1	4	41
0.284	4	6	29	5	2	4	41
0.284	4	19	29	5	3	2	26
0.284	4	22	29	5	4	0	15
0.284	4	9	29	5	6	0	15
0.284	5	23	29	5	1	6	325
0.284	6	15	29	5	1	6	75
0.284	6	8	29	5	2	6	75
0.284	6	14	29	5	3	0	19
0.284	6	7	29	5	4	0	19
0.284	9	17	29	5	1	6	325
0.284	10	1	29	5	1	18	999
0.284	11	2	29	5	1	18	999
0.284	12	3	29	5	1	14	807
0.284	13	4	29	5	1	18	999
0.285	1	11	29	6	3	6	63
0.285	1	20	29	6	1	10	97
0.285	1	10	29	6	2	10	97
0.285	2	21	29	6	1	4	105
0.285	2	16	29	6	2	2	65
0.285	4	12	29	6	1	4	41
0.285	4	6	29	6	2	4	41
0.285	4	19	29	6	3	2	26
0.285	4	22	29	6	4	0	15
0.285	4	9	29	6	6	0	15
0.285	5	23	29	6	1	6	325
0.285	6	15	29	6	1	6	75
0.285	6	8	29	6	2	6	75
0.285	6	14	29	6	3	0	19
0.285	6	7	29	6	4	0	19
0.285	9	17	29	6	1	6	325
0.285	10	1	29	6	1	18	999
0.285	11	2	29	6	1	18	999
0.285	12	3	29	6	1	14	807
0.285	13	4	29	6	1	18	999
0.286	1	11	29	7	3	6	63
0.286	1	20	29	7	1	10	97
0.286	1	10	29	7	2	10	97
0.286	2	21	29	7	1	4	105
0.286	2	16	29	7	2	2	65
0.286	4	12	29	7	1	4	41
0.286	4	6	29	7	2	4	41
0.286	4	19	29	7	3	2	26
0.286	4	22	29	7	4	0	15
0.286	4	9	29	7	6	0	15
0.286	5	23	29	7	1	6	325
0.286	6	15	29	7	1	6	75
0.286	6	8	29	7	2	6	75
0.286	6	14	29	7	3	0	19
0.286	6	7	29	7	4	0	19
0.286	9	17	29	7	1	6	325
0.286	10	1	29	7	1	18	999
0.286	11	2	29	7	1	18	999
0.286	12	3	29	7	1	14	807
0.286	13	4	29	7	1	18	999
0.287	1	11	29	8	3	6	63
0.287	1	20	29	8	1	10	97
0.287	1	10	29	8	2	10	97
0.287	2	21	29	8	1	4	105
0.287	2	16	29	8	2	2	65
0.287	4	12	29	8	1	4	41
0.287	4	6	29	8	2	4	41
0.287	4	19	29	8	3	2	26
0.287	4	22	29	8	4	0	15
0.287	4	9	29	8	6	0	15
0.287	5	23	29	8	1	6	325
0.287	6	15	29	8	1	6	75
0.287	6	8	29	8	2	6	75
0.287	6	14	29	8	3	0	19
0.287	6	7	29	8	4	0	19
0.287	9	17	29	8	1	6	325
0.287	10	1	29	8	1	18	999
0.287	11	2	29	8	1	18	999
0.287	12	3	29	8	1	14	807
0.288	1	11	29	9	3	6	63
0.288	1	20	29	9	1	10	97
0.288	1	10	29	9	2	10	97
0.288	2	21	29	9	1	4	105
0.288	2	16	29	9	2	2	65
0.288	4	12	29	9	1	4	41
0.288	4	6	29	9	2	4	41
0.288	4	19	29	9	3	2	26
0.288	4	22	29	9	4	0	15
0.288	4	9	29	9	6	0	15
0.288	5	23	29	9	1	6	325
0.288	6	15	29	9	1	6	75
0.288	6	8	29	9	2	6	75
0.288	6	14	29	9	3	0	19
0.288	6	7	29	9	4	0	19
0.288	9	17	29	9	1	6	325
0.288	10	1	29	9	1	18	999
0.288	11	2	29	9	1	28	2292
0.288	12	3	29	9	1	14	807
0.288	13	4	29	9	1	18	999
0.289	1	11	29	10	3	6	63
0.289	1	20	29	10	1	10	97
0.289	1	10	29	10	2	10	97
0.289	2	21	29	10	1	4	105
0.289	2	16	29	10	2	2	65
0.289	4	12	29	10	1	4	41
0.289	4	6	29	10	2	4	41
0.289	4	19	29	10	3	2	26
0.289	4	22	29	10	4	0	15
0.289	4	9	29	10	6	0	15
0.289	5	23	29	10	1	6	325
0.289	6	15	29	10	1	6	75
0.289	6	8	29	10	2	6	75
0.289	6	14	29	10	3	0	19
0.289	6	7	29	10	4	0	19
0.289	9	17	29	10	1	6	325
0.289	10	1	29	10	1	18	999
0.289	11	2	29	10	1	28	2292
0.289	12	3	29	10	1	14	807
0.289	13	4	29	10	1	18	999
0.29	1	11	30	1	3	6	63
0.29	1	20	30	1	1	10	97
0.29	1	10	30	1	2	10	97
0.29	2	21	30	1	1	4	105
0.29	2	16	30	1	2	2	65
0.29	4	12	30	1	1	4	41
0.29	4	6	30	1	2	4	41
0.29	4	19	30	1	3	2	26
0.29	4	22	30	1	4	0	15
0.29	4	9	30	1	6	0	15
0.29	5	23	30	1	1	6	325
0.29	6	15	30	1	1	6	75
0.29	6	8	30	1	2	6	75
0.29	6	14	30	1	3	0	19
0.29	6	7	30	1	4	0	19
0.29	9	17	30	1	1	6	325
0.29	10	1	30	1	1	18	999
0.29	11	2	30	1	1	18	999
0.29	12	3	30	1	1	14	807
0.29	13	4	30	1	1	18	999
0.291	1	11	30	2	3	6	63
0.291	1	20	30	2	1	10	97
0.291	1	10	30	2	2	10	97
0.291	2	21	30	2	1	4	105
0.291	2	16	30	2	2	2	65
0.291	4	12	30	2	1	4	41
0.291	4	6	30	2	2	4	41
0.291	4	19	30	2	3	2	26
0.291	4	22	30	2	4	0	15
0.291	4	9	30	2	6	0	15
0.291	5	23	30	2	1	6	325
0.291	6	15	30	2	1	6	75
0.291	6	8	30	2	2	6	75
0.291	6	14	30	2	3	0	19
0.291	6	7	30	2	4	0	19
0.291	9	17	30	2	1	6	325
0.291	10	1	30	2	1	18	999
0.291	11	2	30	2	1	18	999
0.291	12	3	30	2	1	14	807
0.291	13	4	30	2	1	18	999
0.292	1	11	30	3	3	6	63
0.292	1	20	30	3	1	10	97
0.292	1	10	30	3	2	10	97
0.292	2	21	30	3	1	4	105
0.292	2	16	30	3	2	2	65
0.292	4	12	30	3	1	4	41
0.292	4	6	30	3	2	4	41
0.292	4	19	30	3	3	2	26
0.292	4	22	30	3	4	0	15
0.292	4	9	30	3	6	0	15
0.292	5	23	30	3	1	6	325
0.292	6	15	30	3	1	6	75
0.292	6	8	30	3	2	6	75
0.292	6	14	30	3	3	0	19
0.292	6	7	30	3	4	0	19
0.292	9	17	30	3	1	6	325
0.292	10	1	30	3	1	18	999
0.292	11	2	30	3	1	18	999
0.292	12	3	30	3	1	14	807
0.292	13	4	30	3	1	18	999
0.293	1	11	30	4	3	6	63
0.293	1	20	30	4	1	10	97
0.293	1	10	30	4	2	10	97
0.293	2	21	30	4	1	4	105
0.293	2	16	30	4	2	2	65
0.293	4	12	30	4	1	4	41
0.293	4	6	30	4	2	4	41
0.293	4	19	30	4	3	2	26
0.293	4	22	30	4	4	0	15
0.293	4	9	30	4	6	0	15
0.293	5	23	30	4	1	6	325
0.293	6	15	30	4	1	6	75
0.293	6	8	30	4	2	6	75
0.293	6	14	30	4	3	0	19
0.293	6	7	30	4	4	0	19
0.293	9	17	30	4	1	6	325
0.293	10	1	30	4	1	18	999
0.293	11	2	30	4	1	18	999
0.293	12	3	30	4	1	14	807
0.294	1	11	30	5	3	6	63
0.294	1	20	30	5	1	10	97
0.294	1	10	30	5	2	10	97
0.294	2	21	30	5	1	4	105
0.294	2	16	30	5	2	2	65
0.294	4	12	30	5	1	4	41
0.294	4	6	30	5	2	4	41
0.294	4	19	30	5	3	2	26
0.294	4	22	30	5	4	0	15
0.294	4	9	30	5	6	0	15
0.294	5	23	30	5	1	6	325
0.294	6	15	30	5	1	6	75
0.294	6	8	30	5	2	6	75
0.294	6	14	30	5	3	0	19
0.294	6	7	30	5	4	0	19
0.294	9	17	30	5	1	6	325
0.294	10	1	30	5	1	18	999
0.294	11	2	30	5	1	28	2292
0.294	12	3	30	5	1	14	807
0.294	13	4	30	5	1	18	999
0.295	1	11	30	6	3	6	63
0.295	1	20	30	6	1	10	97
0.295	1	10	30	6	2	10	97
0.295	2	21	30	6	1	4	105
0.295	2	16	30	6	2	2	65
0.295	4	12	30	6	1	4	41
0.295	4	6	30	6	2	4	41
0.295	4	19	30	6	3	2	26
0.295	4	22	30	6	4	0	15
0.295	4	9	30	6	6	0	15
0.295	5	23	30	6	1	6	325
0.295	6	15	30	6	1	6	75
0.295	6	8	30	6	2	6	75
0.295	6	14	30	6	3	0	19
0.295	6	7	30	6	4	0	19
0.295	9	17	30	6	1	6	325
0.295	10	1	30	6	1	18	999
0.295	11	2	30	6	1	28	2292
0.295	12	3	30	6	1	14	807
0.295	13	4	30	6	1	18	999
0.296	1	11	30	7	3	6	63
0.296	1	20	30	7	1	10	97
0.296	1	10	30	7	2	10	97
0.296	2	21	30	7	1	4	105
0.296	2	16	30	7	2	2	65
0.296	4	12	30	7	1	4	41
0.296	4	6	30	7	2	4	41
0.296	4	19	30	7	3	2	26
