% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.07	4	5	8	1	2	16	903	0	0
0.07	6	23	8	1	2	18	967	0	0
0.07	7	11	8	1	1	8	421	0	0
0.07	8	20	8	1	1	0	81	0	0
0.07	9	6	8	1	1	2	133	0	0
0.07	10	1	8	1	1	8	421	0	0
0.07	11	2	8	1	1	16	903	0	0
0.07	12	3	8	1	1	8	421	0	0
0.07	13	4	8	1	1	2	133	0	0
0.071	1	18	8	2	2	12	597	0	0
0.071	2	15	8	2	1	12	597	0	0
0.071	3	16	8	2	2	2	133	0	0
0.071	4	19	8	2	1	14	775	0	0
0.071	6	7	8	2	1	8	421	0	0
0.071	7	10	8	2	3	8	421	0	0
0.071	8	20	8	2	1	0	81	0	0
0.071	9	21	8	2	2	0	81	0	0
0.071	10	1	8	2	1	8	421	0	0
0.071	11	2	8	2	1	16	903	0	0
0.071	12	3	8	2	1	8	421	0	0
0.071	13	4	8	2	1	2	133	0	0
0.072	1	22	8	3	1	10	469	0	0
0.072	2	14	8	3	2	4	217	0	0
0.072	3	17	8	3	1	18	967	0	0
0.072	4	5	8	3	2	16	903	0	0
0.072	6	13	8	3	3	8	421	0	0
0.072	7	9	8	3	2	2	133	0	0
0.072	8	20	8	3	1	0	81	0	0
