% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.066	1	18	7	7	2	2	65
0.066	2	15	7	7	1	4	105
0.066	2	14	7	7	2	8	209
0.066	3	17	7	7	1	14	389
0.066	3	16	7	7	2	6	153
0.066	6	7	7	7	1	8	137
0.066	6	23	7	7	2	2	41
0.066	6	13	7	7	3	4	69
0.066	7	11	7	7	1	6	101
0.066	7	9	7	7	2	16	309
0.066	7	10	7	7	3	12	201
0.066	8	20	7	7	1	10	501
0.066	9	6	7	7	1	2	41
0.066	10	1	7	7	1	18	999
0.066	11	2	7	7	1	12	621
0.066	12	3	7	7	1	28	2292
0.066	13	4	7	7	1	28	2292
0.067	1	22	7	8	1	4	105
0.067	1	18	7	8	2	2	65
0.067	2	15	7	8	1	4	105
0.067	2	14	7	8	2	8	209
0.067	3	17	7	8	1	14	389
0.067	3	16	7	8	2	6	153
0.067	6	7	7	8	1	8	137
0.067	6	23	7	8	2	2	41
